Date,G_Open,G_High,G_Low,G_Close,G_Adj Close,G_Vol.,US_Price,US_Open,US_High,US_Low,US_Vol.,US_Change %
2021-12-30,232.490005,232.490005,231.009995,231.25,231.25,9311,96.211,95.6,96.33,95.6,16790,0.65%
2021-12-29,233.199997,233.490005,232.369995,232.490005,232.490005,11021,95.593,95.965,96.105,95.575,15000,-0.39%
2021-12-24,235,235.100006,233.059998,233.429993,233.429993,10715,95.964,95.875,96.225,95.865,12400,0.04%
2021-12-23,233.080002,233.809998,232.800003,233.479996,233.479996,11381,95.926,96.135,96.395,95.735,16540,-0.29%
2021-12-22,233.050003,233.830002,233,233.830002,233.830002,12422,96.203,96.06,96.27,95.985,9340,0.12%
2021-12-21,234.860001,235,234.259995,234.740005,234.740005,21813,96.086,96.095,96.245,96.035,9300,0.11%
2021-12-20,235.360001,236.220001,235.360001,236.149994,236.149994,37525,95.985,96.05,96.265,95.97,10870,-0.08%
2021-12-17,233.660004,234.789993,233.309998,234.479996,234.479996,41215,96.059,96.47,96.585,96.01,12710,-0.45%
2021-12-16,231.149994,232.369995,230.589996,232.110001,232.110001,19678,96.489,96.515,96.625,96.335,11660,-0.06%
2021-12-15,232.429993,232.570007,231.839996,231.960007,231.960007,8997,96.545,96.62,96.67,96.33,13680,0.00%
2021-12-14,233.270004,234.660004,233.169998,234.110001,234.110001,28740,96.548,95.98,96.655,95.845,13480,0.56%
2021-12-13,231.770004,232.960007,231.559998,232,232,15795,96.015,96.375,96.405,95.81,20680,-0.48%
2021-12-10,231.729996,231.949997,231.309998,231.550003,231.550003,22471,96.482,96.495,96.895,96.25,18880,-0.06%
2021-12-09,231.949997,232.190002,231.720001,232.059998,232.059998,14474,96.538,96.365,96.555,96.07,13310,0.20%
2021-12-08,233.669998,234.029999,233.330002,234.029999,234.029999,28471,96.345,96.065,96.43,96.065,780,0.25%
2021-12-07,235.300003,235.779999,234.009995,234.339996,234.339996,29180,96.1,96.235,96.425,95.985,8920,-0.16%
2021-12-06,236.880005,237.330002,236.300003,236.300003,236.300003,32838,96.252,95.98,96.34,95.97,16200,0.39%
